bucket,sample_count,bad_rate,avg_probability,lift
0,6151,0.3064542350837262,0.29859541758558966,3.796143971874
1,6150,0.1567479674796748,0.15575497097973268,1.9416858497285876
2,6150,0.09967479674796748,0.10656732978608995,1.2347027239456683
3,6150,0.06991869918699187,0.07523297238830777,0.866104684007565
4,6151,0.05527556494878882,0.05674295065466757,0.6847156235740903
5,6150,0.04211382113821138,0.04114677274398855,0.5216770073440915
6,6150,0.02829268292682927,0.028623243463164263,0.350470267482131
7,6150,0.0224390243902439,0.022722446101501575,0.2779591776582418
8,6150,0.0175609756097561,0.016012359576406107,0.21753326947166754
9,6151,0.00877906031539587,0.009605295727542222,0.10874895197941434
