feature,mean_abs_shap
EXT_SOURCE_2,0.32716835
EXT_SOURCE_3,0.27212456
EXT_SOURCE_1,0.12249693
app_goods_credit_ratio,0.1047353
DAYS_EMPLOYED,0.10169062
inst_early_count,0.096869804
bureau_debt_credit_ratio_max,0.09134334
AMT_ANNUITY,0.07841138
pos_future_installment_max,0.067912996
pos_future_installment_mean,0.06751918
DAYS_BIRTH,0.06521952
CODE_GENDER__M,0.064043894
CODE_GENDER__F,0.06324117
prev_refused_count,0.062455047
NAME_FAMILY_STATUS__Married,0.062288396
prev_application_credit_ratio_mean,0.057506856
NAME_EDUCATION_TYPE__Higher_education,0.05728506
bureau_active_debt_credit_ratio_mean,0.05656182
inst_days_overdue_max,0.055961225
app_credit_annuity_years,0.05435712
